% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'push bundesbank', 'rates higher', 'VB NP', 'NNS RBR', 'money paid for the use of money'
'minority tax', 'profit attributable', 'NN NN', 'NN JJ', 'a share in a company or business'
'level high', 'rates abbey', 'NN JJ', 'NNS NP', 'money paid for the use of money'
'higher plant', 'expenses among', 'JJR NN', 'NNS IN', 'money paid for the use of money'
'minority taxes', 'tumbled half', 'NN NNS', 'VBD NN', 'a share in a company or business'
'conflicts possible', 'consultant really', 'NNS JJ', 'NN RB', 'advantage, advancement or favor'
'best nXt', 'company shareholders', 'JJS RB', 'NN NNS', 'advantage, advancement or favor'
'minority purchase', 'aXlX williams', 'NN NN', 'NP NP', 'a share in a company or business'
'% 49', 'columbia due', 'NN AB', 'NP JJ', 'a share in a company or business'
'% 3', 'columbia', 'NN AB', 'NP', 'a share in a company or business'
'pursue company', 'probably entertainment', 'VB NN', 'RB NN', 'activity, etc. that one gives attention to'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'Xs nation', 'one state', 'POS NN', 'AB NN', 'advantage, advancement or favor'
'Xs state', 'protect management', 'POS NN', 'VB NN', 'advantage, advancement or favor'
'renewed showed', 'sea newfoundland', 'JJ VBD', 'NN NP', 'readiness to give attention'
'said institute', 'exploration spurred', 'VBD NP', 'NN VBN', 'readiness to give attention'
'additional stimulate', 'among thrifts', 'JJ VB', 'IN NNS', 'readiness to give attention'
'uXkX direction', 'rates corporate', 'NP NN', 'NNS JJ', 'money paid for the use of money'
'prospects attention', 'rate increase', 'NNS NN', 'NN NN', 'money paid for the use of money'
'raise thursday', 'rates', 'VB NP', 'NNS', 'money paid for the use of money'
'german rise', 'rates making', 'JJ NN', 'NNS VBG', 'money paid for the use of money'
'domestic jitters', 'rates bleak', 'JJ NNS', 'NNS NN', 'money paid for the use of money'
'% 49', 'owned coca-cola', 'NN AB', 'VBN NP', 'a share in a company or business'
'Xs long', 'inmates', 'VBZ RB', 'NNS', 'quality of causing attention to be given to'
'expected better', 'buying copper', 'VBN JJR', 'VBG NN', 'readiness to give attention'
'boost bundesbank', 'rates octX', 'VB NP', 'NNS NP', 'money paid for the use of money'
'little shown', 'bond auction', 'JJ VBN', 'NN NN', 'readiness to give attention'
'certain deductibility', 'payments original', 'JJ NN', 'NNS JJ', 'money paid for the use of money'
'main Xs', 'maintain empire', 'JJ POS', 'VB NN', 'activity, etc. that one gives attention to'
'company leaving', 'laboratory supply', 'NN VBG', 'NN NN', 'a share in a company or business'
'key raises', 'rates many', 'JJ VBZ', 'NNS JJ', 'money paid for the use of money'
'profits operating', 'quarter', 'NNS NN', 'NN', 'money paid for the use of money'
'accrued plus', '', 'VBN CC', '', 'money paid for the use of money'
'taxes personal', 'borrowings depreciation', 'NNS JJ', 'NNS NN', 'money paid for the use of money'
'china stable', 'united states', 'NP JJ', 'NP NPS', 'advantage, advancement or favor'
'china stable', 'united states', 'NP JJ', 'NP NPS', 'advantage, advancement or favor'
'diluted fully', 'fell 43X2', 'JJ RB', 'VBD AB', 'a share in a company or business'
'indirect %', 'ralphs grocery', 'JJ NN', 'NP NP', 'a share in a company or business'
'bears campeau', '9X875 %', 'VBZ NP', 'AB NN', 'money paid for the use of money'
'best ultimately', 'clients', 'JJS RB', 'NNS', 'advantage, advancement or favor'
'shorter-term study', 'selling plants', 'JJR NN', 'VBG NNS', 'advantage, advancement or favor'
'Xs company', 'regarding marine', 'POS NN', 'VBG NP', 'advantage, advancement or favor'
'average', 'rate rose', 'JJ', 'NN VBD', 'money paid for the use of money'
'deduct deduction', 'paid loan', 'VB NN', 'VBN NN', 'money paid for the use of money'
'reported reduced', 'dividend income', 'JJ VBD', 'NN NN', 'money paid for the use of money'
'plus principal', 'finally taxed', 'CC NN', 'RB VBN', 'money paid for the use of money'
'ira-plus saved', 'tax free', 'NN VBN', 'NN JJ', 'money paid for the use of money'
'personal protect', '', 'JJ VB', '', 'advantage, advancement or favor'
'best X', 'making trades', 'JJS POS', 'VBG NNS', 'advantage, advancement or favor'
'% 67', '', 'NN AB', '', 'a share in a company or business'
'german west', 'rates though', 'JJ JJ', 'NNS RB', 'money paid for the use of money'
'raising consider', 'rates current', 'VBG VB', 'NNS JJ', 'money paid for the use of money'
'raising advocated', 'rates japan', 'VBG VBN', 'NNS NP', 'money paid for the use of money'
'domestic strategy', 'rates country', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'billion 1X6', 'payment international', 'AB AB', 'NN JJ', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'business pursue', '', 'NN VB', '', 'activity, etc. that one gives attention to'
'business pursue', '', 'NN VB', '', 'activity, etc. that one gives attention to'
'conflict terrible', 'among investors', 'NN JJ', 'IN NNS', 'advantage, advancement or favor'
'', 'rising fast', '', 'VBG RB', 'readiness to give attention'
'buying aside', 'single-country stock', 'VBG RB', 'JJ NN', 'readiness to give attention'
'% 5', 'placing remaining', 'NN AB', 'VBG VBG', 'a share in a company or business'
'higher pay', 'rates big', 'JJR VB', 'NNS JJ', 'money paid for the use of money'
'rush spurred', 'advertisers publishers', 'NN VBN', 'NNS NNS', 'readiness to give attention'
'drive needs', 'rates', 'VB NNS', 'NNS', 'money paid for the use of money'
'current long', 'term bonds', 'JJ JJ', 'NN NNS', 'money paid for the use of money'
'raising consider', 'rates way', 'VBG VB', 'NNS NN', 'money paid for the use of money'
'drew notes', 'diverse set', 'VBD NNS', 'JJ NN', 'readiness to give attention'
'uXkX concerns', 'rate increases', 'NP NNS', 'NN NNS', 'money paid for the use of money'
'rising fears', 'rates', 'VBG NNS', 'NNS', 'money paid for the use of money'
'current whether', 'rates consistent', 'JJ IN', 'NNS JJ', 'money paid for the use of money'
'X banks', 'margins', 'POS NNS', 'NNS', 'money paid for the use of money'
'lowering priority', 'rates drawn', 'VBG NN', 'NNS VBN', 'money paid for the use of money'
'local exploit', 'reach beyond', 'JJ VB', 'VB IN', 'advantage, advancement or favor'
'economic many', 'driving mrX', 'JJ DT', 'VBG NP', 'activity, etc. that one gives attention to'
'% 51', 'three independent', 'NN AB', 'AB JJ', 'a share in a company or business'
'retailing paper', 'including saks', 'NN NN', 'VBG NP', 'a share in a company or business'
'short', 'rose 2X7', 'JJ', 'VBD AB', 'a share in a company or business'
'belief reinforcing', 'rates remain', 'NN VBG', 'NNS VB', 'money paid for the use of money'
'% 43X7', 'lead-zinc producer', 'NN AB', 'JJ NN', 'a share in a company or business'
'controlling incX', 'gold-mining operations', 'VBG NP', 'JJ NNS', 'a share in a company or business'
'incX group', 'franklin resources', 'NP NP', 'NP NPS', 'a share in a company or business'
'% 50', 'puna geothermal', 'NN AB', 'NP NP', 'a share in a company or business'
'X students', '', 'POS NNS', '', 'readiness to give attention'
'limited-partner %', 'kaneb pipe', 'JJ NN', 'NP NP', 'a share in a company or business'
'pipeline gas', '', 'NN NN', '', 'a share in a company or business'
'Xs government', 'protected public', 'POS NN', 'VBN JJ', 'advantage, advancement or favor'
'company holding', 'broadcasting banking', 'NN VBG', 'NN NN', 'a share in a company or business'
'key raise', 'rates', 'JJ VB', 'NNS', 'money paid for the use of money'
'domestic higher', 'rates usually', 'JJ JJR', 'NNS RB', 'money paid for the use of money'
'realignment open', 'rates traders', 'NN JJ', 'NNS NNS', 'money paid for the use of money'
'every par', 'payment date', 'DT NN', 'NN NN', 'money paid for the use of money'
'disclosed also', 'selling caldor', 'VBN RB', 'VBG NP', 'readiness to give attention'
'retailing uXkX', 'existing shareholders', 'VBG NP', 'VBG NNS', 'a share in a company or business'
'partner limited', 'kaneb pipe', 'NN VBD', 'NP NP', 'a share in a company or business'
'short', 'large small', 'JJ', 'JJ JJ', 'a share in a company or business'
'short otc', 'posted last', 'JJ NP', 'VBD JJ', 'a share in a company or business'
'short', 'rose 1', 'JJ', 'VBD AB', 'a share in a company or business'
'short otc', 'latest month', 'JJ NP', 'JJS NN', 'a share in a company or business'
'short decline', 'new york', 'JJ NN', 'NP NP', 'a share in a company or business'
'short issues', 'acclaim entertainment', 'JJ NNS', 'NP NP', 'a share in a company or business'
'short', 'first executive', 'JJ', 'NP NP', 'a share in a company or business'
'short saw', 'jump 77', 'JJ VBD', 'NN AB', 'a share in a company or business'
'short', 'novell jaguar', 'JJ', 'NP NP', 'a share in a company or business'
'short', 'number shares', 'JJ', 'NN NNS', 'a share in a company or business'
'short surge', 'indicates speculation', 'JJ NN', 'VBZ NN', 'a share in a company or business'
'short base', 'healthy shares', 'JJ NN', 'JJ NNS', 'a share in a company or business'
'short compiles', 'data two', 'JJ VBZ', 'NNS AB', 'a share in a company or business'
'short 15', '2,391 national', 'JJ AB', 'AB NP', 'a share in a company or business'
'short system', 'totaled nearly', 'JJ NP', 'VBD RB', 'a share in a company or business'
'short issues', 'position least', 'JJ NNS', 'NN JJS', 'a share in a company or business'
'immediate said', 'buying foreign', 'JJ VBD', 'VBG JJ', 'readiness to give attention'
'conflict installations', 'audit work', 'NN NNS', 'NN NN', 'advantage, advancement or favor'
'nXt', 'acquiring phone', 'RB', 'VBG NN', 'readiness to give attention'
'', 'rates full', '', 'NNS JJ', 'money paid for the use of money'
'average', 'rate 30-year', 'JJ', 'NN JJ', 'money paid for the use of money'
'', 'rates general', '', 'NNS JJ', 'money paid for the use of money'
'month dollars', 'rates climbed', 'NN NNS', 'NNS VBD', 'money paid for the use of money'
'represent lawyers', 'face additional', 'VB NNS', 'VBP JJ', 'advantage, advancement or favor'
'happen going', 'rates', 'VB VBG', 'NNS', 'money paid for the use of money'
'keep economy', 'rates falling', 'VB NN', 'NNS VBG', 'money paid for the use of money'
'later deal', 'rates fall', 'RB NN', 'NNS VBP', 'money paid for the use of money'
'less significantly', 'fixed rate', 'JJR RB', 'VBN NN', 'money paid for the use of money'
'think comes', 'rates headed', 'VBP VBZ', 'NNS VBN', 'money paid for the use of money'
'equity %', 'block 21024a', 'NN NN', 'NP NP', 'a share in a company or business'
'base X', 'rates remain', 'NN POS', 'NNS VB', 'money paid for the use of money'
'raised government', 'rates 10', 'VBN NN', 'NNS AB', 'money paid for the use of money'
'reiterated lawson', 'rates remain', 'VBD NP', 'NNS VB', 'money paid for the use of money'
'raise government', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'higher particularly', 'rates raise', 'JJR RB', 'NNS VB', 'money paid for the use of money'
'high respond', 'rates', 'JJ VB', 'NNS', 'money paid for the use of money'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'promised received', 'payments', 'VBN VBD', 'NNS', 'money paid for the use of money'
'exchange', 'smallest loan', 'NN', 'JJS NN', 'money paid for the use of money'
'telephone cellular', 'bellsouth', 'NN JJ', 'NP', 'a share in a company or business'
'Xs magistrate', 'understandable', 'POS NN', 'JJ', 'readiness to give attention'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'concern connX', 'many businesses', 'NN NP', 'JJ NNS', 'a share in a company or business'
'lower carrying', 'rate ranking', 'JJR VBG', 'NN VBG', 'money paid for the use of money'
'debt senior', 'currently payable', 'NN JJ', 'RB JJ', 'money paid for the use of money'
'pay securities', 'form additional', 'VBP NNS', 'NN JJ', 'money paid for the use of money'
'allow reserve', 'rates fall', 'VB NP', 'NNS VB', 'money paid for the use of money'
'rise tolerate', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'higher market', 'rates seem', 'JJR NN', 'NNS VBP', 'money paid for the use of money'
'overdue catch', 'payments bankers', 'JJ VB', 'NNS NNS', 'money paid for the use of money'
'behind million', 'payments commercial-bank', 'IN AB', 'NNS JJ', 'money paid for the use of money'
'debt reducing', 'according bankers', 'NN VBG', 'VBG NNS', 'money paid for the use of money'
'debt foreign-bank', 'payments', 'NN JJ', 'NNS', 'money paid for the use of money'
'special publisher', 'magazines', 'JJ NN', 'NNS', 'activity, etc. that one gives attention to'
'X firms', 'europe generated', 'POS NNS', 'NP VBN', 'readiness to give attention'
'long-term Xs', 'china', 'JJ POS', 'NP', 'advantage, advancement or favor'
'conflict Xs', 'never disclosed', 'NN POS', 'RB VBN', 'advantage, advancement or favor'
'sold oryx', '107 oil', 'VBD NP', 'AB NN', 'a share in a company or business'
'euroyen trading', 'rate futures', 'NP VBG', 'NN NNS', 'money paid for the use of money'
'expressed bidders', 'buying delaware', 'VBD NNS', 'VBG NP', 'readiness to give attention'
'schroder wertheim', '', 'NP NP', '', 'a share in a company or business'
'domestic short-term', 'rates higher', 'JJ JJ', 'NNS JJR', 'money paid for the use of money'
'higher fluctuations', 'rates traders', 'JJR NNS', 'NNS NNS', 'money paid for the use of money'
'buying receive', 'following friday', 'NN VB', 'VBG NP', 'readiness to give attention'
'lack declined', 'fresh positions', 'NN VBD', 'JJ NNS', 'readiness to give attention'
'lively continued', 'foreign investors', 'JJ VBD', 'JJ NNS', 'readiness to give attention'
'reprieve apparent', 'rate speculation', 'NN JJ', 'NN NN', 'money paid for the use of money'
'paris', 'rate concerns', 'NP', 'NN NNS', 'money paid for the use of money'
'european higher', 'rates near', 'JJ JJR', 'NNS JJ', 'money paid for the use of money'
'certain company', '', 'JJ NN', '', 'a share in a company or business'
'minority payments', 'jumped 1X729', 'NN NNS', 'VBD AB', 'a share in a company or business'
'voting %', 'united $', 'NN NN', 'NP NN', 'a share in a company or business'
'washington', 'building capitol', 'NP', 'VBG NP', 'readiness to give attention'
'public care', 'served sentence', 'JJ NN', 'VBN NN', 'advantage, advancement or favor'
'raise bank', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'inflation-adjusted uXsX', 'rates high', 'JJ NP', 'NNS JJ', 'money paid for the use of money'
'lowering dollar', 'rates clearly', 'VBG NN', 'NNS RB', 'money paid for the use of money'
'domestic raise', 'rates uXsX', 'JJ VB', 'NNS NP', 'money paid for the use of money'
'% 60', 'cit group', 'NN AB', 'NP NP', 'a share in a company or business'
'snack-food beyond', '', 'NN IN', '', 'a share in a company or business'
'growing', 'among precious', 'VBG', 'IN JJ', 'readiness to give attention'
'% 35', 'bought publicly', 'NN AB', 'VBD RB', 'a share in a company or business'
'quadrum %', 'financial services', 'NP NN', 'JJ NNS', 'a share in a company or business'
'markets swap', 'rates currencies', 'NNS NN', 'NNS NNS', 'money paid for the use of money'
'buying foreign', '', 'NN JJ', '', 'readiness to give attention'
'emerging seen', 'two-year four-year', 'VBG VBN', 'JJ JJ', 'readiness to give attention'
'strong show', 'two-year notes', 'JJ VB', 'JJ NNS', 'readiness to give attention'
'lot saw', 'lomas paper', 'NN VBD', 'NP NN', 'readiness to give attention'
'raise bank', 'rates sometime', 'VB NN', 'NNS RB', 'money paid for the use of money'
'expressed companies', 'buying unit', 'VBN NNS', 'VBG NN', 'readiness to give attention'
'said oakes', 'insurers showed', 'VBD NP', 'NNS VBN', 'readiness to give attention'
'maintain actively', '- 160', 'VBP RB', '? AB', 'a share in a company or business'
'love beautiful', 'drX kulani', 'NN JJ', 'NP NP', 'activity, etc. that one gives attention to'
'abilities individual', 'aspiring poet', 'NNS JJ', 'JJ NN', 'activity, etc. that one gives attention to'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'except outlays', 'payments climbed', 'IN NNS', 'NNS VBD', 'money paid for the use of money'
'meet unable', 'payments $', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'american north', 'unilateralist tendencies', 'JJ JJ', 'JJ NNS', 'advantage, advancement or favor'
'marketing manufacturing', '', 'NN NN', '', 'a share in a company or business'
'bring fed', 'rates little', 'VB NP', 'NNS JJ', 'money paid for the use of money'
'high primarily', 'rates reduced', 'JJ RB', 'NNS JJ', 'money paid for the use of money'
'healthy earning', 'rate campeau-related', 'JJ VBG', 'NN JJ', 'money paid for the use of money'
'possible rumors', 'jaguar', 'JJ NNS', 'NP', 'readiness to give attention'
'social Xs', 'stop shifting', 'JJ VBZ', 'VB VBG', 'advantage, advancement or favor'
'% 5', 'rate bonds', 'NN AB', 'NN NNS', 'money paid for the use of money'
'best Xs', '', 'JJS POS', '', 'advantage, advancement or favor'
'resume peru', 'payments $', 'VB NP', 'NNS NN', 'money paid for the use of money'
'local representation', 'congress political', 'JJ NN', 'NP JJ', 'advantage, advancement or favor'
'local say', 'receive hearing', 'JJ VB', 'VBP NN', 'advantage, advancement or favor'
'financial longer', 'agency far', 'JJ RB', 'NN RB', 'a share in a company or business'
'below-market either', 'rate discount', 'JJ CC', 'NN NN', 'money paid for the use of money'
'high reduce', 'rates pay', 'JJ VB', 'NNS VB', 'money paid for the use of money'
'nonetheless', 'rates remain', 'RB', 'NNS VBP', 'money paid for the use of money'
'without years', '', 'IN NNS', '', 'money paid for the use of money'
'acquire agreement', 'cooker participate', 'VB NN', 'NP VB', 'a share in a company or business'
'attracted fund', 'japanese', 'VBN NP', 'NPS', 'readiness to give attention'
'sparked also', 'big board', 'VBN RB', 'NP NP', 'readiness to give attention'
'% 15', 'sybase incX', 'NN AB', 'NP NP', 'a share in a company or business'
'minority acquired', 'another closely', 'NN VBD', 'DT RB', 'a share in a company or business'
'fired nXt', 'payments nXt', 'VBN RB', 'NNS RB', 'money paid for the use of money'
'cut quick', 'rates summer', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'higher bring', 'rates likely', 'JJR VB', 'NNS JJ', 'money paid for the use of money'
'X shareholders', 'new rights', 'POS NNS', 'JJ NNS', 'advantage, advancement or favor'
'compounding principally', 'divestiture non-banking', 'NN RB', 'NN JJ', 'money paid for the use of money'
'increases small', 'rates', 'NNS JJ', 'NNS', 'money paid for the use of money'
'film video-distribution', 'netherlands luxembourg', 'NN NN', 'NP NP', 'a share in a company or business'
'unpaid accrued', 'redemption date', 'JJ JJ', 'NN NN', 'money paid for the use of money'
'widespread speculation', 'rates drop', 'JJ NN', 'NNS VB', 'money paid for the use of money'
'lower expect', 'rates fall', 'JJR VBP', 'NNS NN', 'money paid for the use of money'
'uXsX high', 'rates keeping', 'NP JJ', 'NNS VBG', 'money paid for the use of money'
'lower predicting', 'rates next', 'JJR VBG', 'NNS JJ', 'money paid for the use of money'
'lower expect', 'rates money-supply', 'JJR VBP', 'NNS JJ', 'money paid for the use of money'
'drive inflation', 'rates', 'VB NN', 'NNS', 'money paid for the use of money'
'fear traders', 'rates nowhere', 'VBP NNS', 'NNS RB', 'money paid for the use of money'
'right contrarians', 'rates soon', 'JJ NNS', 'NNS RB', 'money paid for the use of money'
'appreciative Xre', 'shown', 'JJ VBP', 'VBN', 'readiness to give attention'
'employee shareholder', '', 'NN NN', '', 'advantage, advancement or favor'
'pay failed', 'due septX', 'VB VBD', 'JJ NP', 'money paid for the use of money'
'pooling treated', 'combines income', 'NN VBN', 'VBZ NN', 'a share in a company or business'
'controlling acquire', 'implement reorganization', 'JJ VB', 'VB NN', 'a share in a company or business'
'exceptional exhibited', 'helping shareholders', 'JJ VBD', 'VBG NNS', 'readiness to give attention'
'lowered inflation', 'rates', 'VBD NN', 'NNS', 'money paid for the use of money'
'lowered inflation', 'rates', 'VBD NN', 'NNS', 'money paid for the use of money'
'cut reserve', 'rates reduce', 'VB NP', 'NNS VB', 'money paid for the use of money'
'absence', 'rate changes', 'NN', 'NN NNS', 'money paid for the use of money'
'pursue resigned', '', 'VB VBD', '', 'activity, etc. that one gives attention to'
'beneficial shares', 'via prudential-bache', 'JJ NNS', 'IN NP', 'a share in a company or business'
'partnership limited', 'via goldman', 'NP NP', 'IN NP', 'a share in a company or business'
'voting %', 'united equity', 'JJ NN', 'NP NN', 'a share in a company or business'
'billion 17X33', 'last month', 'AB AB', 'JJ NN', 'money paid for the use of money'
'half sold', 'mitsubishi motors', 'NN VBD', 'NP NPS', 'a share in a company or business'
'fees legal', 'judgment', 'NNS JJ', 'NN', 'money paid for the use of money'
'% 45', 'korea industrial', 'NN AB', 'NP NP', 'a share in a company or business'
'equity buyer', 'acquired', 'NN NN', 'VBD', 'a share in a company or business'
'investor', 'summit technology', 'NN', 'NP NP', 'readiness to give attention'
'raised gm', 'rates cut-rate', 'VBN NP', 'NNS JJ', 'money paid for the use of money'
'investor', 'mainly targeted', 'NN', 'RB VBN', 'readiness to give attention'
'domestic directions', 'rates institutional', 'JJ NNS', 'NNS JJ', 'money paid for the use of money'
'keeping -', 'rates high', 'VBG ?', 'NNS JJ', 'money paid for the use of money'
'national essential', 'concentrating making', 'JJ JJ', 'VBG VBG', 'advantage, advancement or favor'
'entrenched long', '- something', 'VBN RB', '? NN', 'advantage, advancement or favor'
'german west', 'rates said', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'market forcing', 'rates summer', 'NN VBG', 'NNS NN', 'money paid for the use of money'
'german west', 'rates still', 'JJ JJ', 'NNS RB', 'money paid for the use of money'
'purchased west', 'uXkX cable', 'VBD NP', 'NP NN', 'a share in a company or business'
'lack interpreted', 'international markets', 'NN VBN', 'JJ NNS', 'readiness to give attention'
'protect Xd', '', 'VB MD', '', 'advantage, advancement or favor'
'minority payments', 'rose 15', 'NN NNS', 'VBD AB', 'a share in a company or business'
'let move', 'rates fall', 'VB NN', 'NNS VB', 'money paid for the use of money'
'pushed steadily', 'rates curb', 'VBD RB', 'NNS VB', 'money paid for the use of money'
'minority payments', 'nearly tripled', 'NN NNS', 'RB VBD', 'a share in a company or business'
'look ratings', 'rate unsound', 'NN NNS', 'NN JJ', 'money paid for the use of money'
'', 'rates fluctuate', '', 'NNS VB', 'money paid for the use of money'
'principal pay', 'never went', 'NN VB', 'RB VBD', 'money paid for the use of money'
'concern director', 'engineering financial', 'NN NN', 'NN JJ', 'a share in a company or business'
'- said', 'done', '? VBD', 'VBN', 'advantage, advancement or favor'
'company holding', 'coating products', 'NN VBG', 'NN NNS', 'a share in a company or business'
'generate continued', '', 'VB VBN', '', 'readiness to give attention'
'retail said', 'bonds dried', 'JJ VBD', 'NNS VBN', 'readiness to give attention'
'best determined', 'shareholders employees', 'JJS VBN', 'NNS NNS', 'advantage, advancement or favor'
'rising position', 'rates 1987', 'VBG NN', 'NNS AB', 'money paid for the use of money'
'signal general', 'process control', 'NP NP', 'NN NN', 'a share in a company or business'
'giant multinational', 'including communications', 'NN JJ', 'VBG NNS', 'a share in a company or business'
'settlement note', 'mrX van', 'NN VB', 'NP NP', 'readiness to give attention'
'supreme endanger', 'may withdraw', 'NN VBP', 'MD VB', 'advantage, advancement or favor'
'short', 'month ended', 'JJ', 'NN VBD', 'a share in a company or business'
'short board', 'slipped 547,347,585', 'JJ NP', 'VBD AB', 'a share in a company or business'
'short amex', 'reached 51,887,168', 'JJ NP', 'VBD AB', 'a share in a company or business'
'short', 'number shares', 'JJ', 'NN NNS', 'a share in a company or business'
'short increase', 'bullish borrowed', 'JJ NN', 'JJ VBN', 'a share in a company or business'
'short fluctuation', 'certain stocks', 'JJ NN', 'JJ NNS', 'a share in a company or business'
'short board', 'ratio rose', 'JJ NP', 'NN VBD', 'a share in a company or business'
'short total', 'position', 'JJ JJ', 'NN', 'a share in a company or business'
'short drop', 'volume panhandle', 'JJ NN', 'NN NP', 'a share in a company or business'
'short issues', 'position least', 'JJ NNS', 'NN JJS', 'a share in a company or business'
'special take', '', 'JJ VB', '', 'readiness to give attention'
'minority payments', 'rose 15', 'NN NNS', 'VBD AB', 'a share in a company or business'
'uXkX high', 'rates rising', 'NP JJ', 'NNS VBG', 'money paid for the use of money'
'earnings billion', 'taxes depreciation', 'NNS AB', 'NNS NN', 'money paid for the use of money'
'net', 'expenses $', 'JJ', 'NNS NN', 'money paid for the use of money'
'% 6X25', 'rate', 'NN AB', 'NN', 'money paid for the use of money'
'outrank unemployment', 'rates economic', 'VBP NN', 'NNS JJ', 'money paid for the use of money'
'wide X', 'nXt reflected', 'JJ POS', 'RB VBN', 'activity, etc. that one gives attention to'
'minority reserves', 'preferred stock', 'NN NNS', 'VBN NN', 'a share in a company or business'
'long-term Xs', 'remain independent', 'JJ POS', 'VB JJ', 'advantage, advancement or favor'
'Xs motor', 'jaguar continued', 'POS NP', 'NP VBD', 'readiness to give attention'
'stir continued', 'foreign car', 'VB VBD', 'JJ NN', 'readiness to give attention'
'lower reserve', 'rates -', 'JJR NP', 'NNS ?', 'money paid for the use of money'
'boosting cut', 'rates time', 'VBG NN', 'NNS NN', 'money paid for the use of money'
'domestic currencies', 'rates remained', 'JJ NNS', 'NNS VBD', 'money paid for the use of money'
'germany west', 'rates feared', 'NP NP', 'NNS VBN', 'money paid for the use of money'
'announced motor', 'earlier week', 'VBD NP', 'RBR NN', 'readiness to give attention'
'% 15', '- valued', 'NN AB', '? VBN', 'a share in a company or business'
'Xs painewebber', 'business hud', 'POS NP', 'NN NP', 'readiness to give attention'
'conflict possible', 'painewebber representing', 'NN JJ', 'NP VBG', 'advantage, advancement or favor'
'conflict asserting', 'arise', 'NN VBG', 'VB', 'advantage, advancement or favor'
'mae ginnie', 'preserving low-income', 'NP NP', 'VBG JJ', 'advantage, advancement or favor'
'pay federal', 'money borrowed', 'VB NP', 'NN VBN', 'money paid for the use of money'
'german leave', 'rates unchanged', 'JJ VB', 'NNS JJ', 'money paid for the use of money'
'german raise', 'rates g-7', 'JJ VB', 'NNS NP', 'money paid for the use of money'
'telephone cellular', 'bellsouth move', 'NN JJ', 'NP NN', 'a share in a company or business'
'important left', 'rates unchanged', 'JJ VBD', 'NNS JJ', 'money paid for the use of money'
'push eventually', 'rates higher', 'VB RB', 'NNS JJR', 'money paid for the use of money'
'based said', 'indicated parties', 'VBN VBD', 'VBN NNS', 'readiness to give attention'
'comes week', 'credited funds', 'VBZ NN', 'VBN NNS', 'money paid for the use of money'
'pursue today', '', 'VB NN', '', 'activity, etc. that one gives attention to'
'westinghouse', 'electrical products', 'NP', 'JJ NNS', 'a share in a company or business'
'best Xs', 'aANDm Xs', 'JJS VBZ', 'NP POS', 'advantage, advancement or favor'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'missed roberts', 'payments bonds', 'VBN NP', 'NNS NNS', 'money paid for the use of money'
'larger fees', 'rates 1', 'JJR NNS', 'NNS AB', 'money paid for the use of money'
'wrong-way disastrous', 'rates believed', 'JJ JJ', 'NNS VBD', 'money paid for the use of money'
'cut debt', 'expense slash', 'VB NN', 'NN VB', 'money paid for the use of money'
'short board', 'fell 1X3', 'JJ NP', 'VBD AB', 'a share in a company or business'
'hanson', 'chemicals restaurants', 'NP', 'NNS NNS', 'a share in a company or business'
'% 32', '', 'NN AB', '', 'a share in a company or business'
'pursue wednesday', '', 'VB NP', '', 'activity, etc. that one gives attention to'
'common', 'common ownership', 'JJ', 'JJ NN', 'advantage, advancement or favor'
'money lend', 'rates', 'NN VB', 'NNS', 'money paid for the use of money'
'one-third purchased', 'new japan', 'JJ VBN', 'NP NP', 'a share in a company or business'
'also marriott', 'restaurants contract-food', 'RB NP', 'NNS NN', 'a share in a company or business'
'whose conglomerate', 'steel electronics', 'WP NN', 'NN NN', 'a share in a company or business'
'wide generate', 'much publicity', 'JJ VB', 'JJ NN', 'readiness to give attention'
'support data', 'opportunity', 'VB NN', 'NN', 'readiness to give attention'
'X consumers', 'getting old', 'POS NNS', 'VBG JJ', 'advantage, advancement or favor'
'cheaply drugs', 'seeing new', 'RB NNS', 'VBG JJ', 'advantage, advancement or favor'
'costs production', 'rates threaten', 'NNS NN', 'NNS VBP', 'money paid for the use of money'
'company lucky-goldstar', 'electronics chemistry', 'NN NP', 'NN NN', 'a share in a company or business'
