% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'traders took statement sign higher european', 'rates near term began taking profits issues led market last week Xs string three consecutive record closes', 'NNS VBD NN NN JJR JJ', 'NNS JJ NN VBD VBG NNS NNS VBD NN JJ NN POS NN AB JJ NN NN', 'money paid for the use of money'
'sakata inx established joint venture company indonesia called pt sakata inx indonesia together local publishing company certain', '', 'NP NP VBD JJ NN NN NP VBN NP NP NP NP RB JJ NN NN JJ', '', 'a share in a company or business'
'jean gandois president state-controlled paris-based metals group told news conference consolidated net payments minority', 'jumped 1X729 billion francs us$ 262 million 744 million francs year earlier', 'NP NP NN JJ JJ NNS NN VBD NN NN JJ NN NNS NN', 'VBD AB AB NNS NN AB AB AB AB NNS NN RB', 'a share in a company or business'
'although british airways receiving 15 % voting', 'united $ 750 million amount investment 78 % $ 965 million cash equity raised purchase', 'IN NP NPS VBG AB NN NN', 'NP NN AB AB NN NN AB NN NN AB AB NN NN VBN NN', 'a share in a company or business'
'washington', 'building capitol hill leveraged buy-outs airlines foreign ownership', 'NP', 'VBG NP NP JJ NNS NNS JJ NN', 'readiness to give attention'
'said yesterday court gone matter great care public', 'served sentence', 'VBD NN NN VBN NN JJ NN JJ', 'VBN NN', 'advantage, advancement or favor'
'also added speculation west german central bank raise', 'rates', 'RB VBD NN JJ JJ JJ NN VB', 'NNS', 'money paid for the use of money'
'say - argue dollar solidly supported buoyant american economy relatively uXsX inflation uXsX inflation-adjusted', 'rates high compared germany japan', 'VBP ? VBP NN RB VBN JJ JJ NN RB NP NN NP JJ', 'NNS JJ VBN NP NP', 'money paid for the use of money'
'uXsX treasury efforts get fed help bring dollar lowering', 'rates clearly nXt born fruit', 'NP NP NNS VB NP VB VB NN VBG', 'NNS RB RB VBN NN', 'money paid for the use of money'
'west germany japan nXt raise domestic', 'rates uXsX lowers rates week dollar resume going slowly highs two marks days ago said roberto bianchi vice president union bank switzerland zurich', 'NP NP NP RB VB JJ', 'NNS NP VBZ NNS NN NN VB VBG RB NNS AB NNS NNS RB VBD NP NP NN NN NP NP NP NP', 'money paid for the use of money'
'manufacturers also agreed sell $ 1X28 billion 60 %', 'cit group bank Xs nationwide business finance company dai-ichi kangyo bank ltd', 'NNS RB VBD VB NN AB AB AB NN', 'NP NP NN POS JJ NN NN NN NP NP NP NP', 'a share in a company or business'
'mei currently 19X2 million common shares outstanding seeking diversify beyond snack-food', '', 'NP RB AB AB JJ NNS JJ VBG VB IN NN', '', 'a share in a company or business'
'growing', 'among precious metals traders nations depress dollar said appears want reduce substantially favorable precious metals uXsX economy whole', 'VBG', 'IN JJ NNS NNS NNS VB NN VBD VBZ VBP VB RB JJ JJ NNS NP NN NN', 'readiness to give attention'
'itel said stake includes 35 %', 'bought publicly traded company well new issue quadrum shares', 'NP VBD NN VBZ AB NN', 'VBD RB JJ NN RB JJ NN NP NNS', 'a share in a company or business'
'itel said option increase stake 50 % quadrum', 'financial services telecommunications equipment', 'NP VBD NN VB NN AB NN NP', 'JJ NNS NN NN', 'a share in a company or business'
'mrX yeres thinks commodity-swap market taking fast part trading sophistication built past five years much bigger swap markets', 'rates currencies', 'NP NP VBZ NN NN VBG RB NN NN NN VBN JJ AB NNS JJ JJR NN NNS', 'NNS NNS', 'money paid for the use of money'
'although sell-off market propped yields levels attractive domestic investors concerns dollar may continue slide expected dampen foreign buying', '', 'IN NN NN VBN NNS NNS JJ JJ NNS NNS NN MD VB NN VBN VB JJ NN', '', 'readiness to give attention'
'sudden collapse dollar seen emerging', 'two-year four-year note auctions part japanese said david resler chief economist normura securities international inc', 'JJ NN NN VBN VBG', 'JJ JJ NN NNS NN NPS VBD NP NP JJ NN NP NPS NP NP', 'readiness to give attention'
'economists contend individual investors typically buy securities treasury auctions noncompetitive bids show strong', 'two-year notes repeating pattern seen yesterday Xs six-month bill sale', 'NNS VBP JJ NNS RB VBP NNS NP NNS JJ NNS VB JJ', 'JJ NNS VBG NN VBN NN POS JJ NN NN', 'readiness to give attention'
'dealers said saw lot', 'lomas paper yesterday added trading limited months', 'NNS VBD VBD NN', 'NP NN NN VBD NN JJ NNS', 'readiness to give attention'
'deutsche mark bond market often firms dollar falls dealers said monday lack buying reflected concern west germany Xs central bank raise', 'rates sometime next month', 'NN NN NN NN RB VBZ NN VBZ NNS VBD NP NN VBG VBN NN NP NP POS JJ NN VB', 'NNS RB JJ NN', 'money paid for the use of money'
'gordon nX oakes jrX monarch Xs chairman chief executive said insurer terminated talks several companies expressed', 'buying unit', 'NP NP NP NP NP POS NN JJ NN VBD NN VBN NNS JJ NNS VBN', 'VBG NN', 'readiness to give attention'
'mrX oakes said', 'insurers showed monarch Xs disability income products determining factor company Xs decision keep unit', 'NP NP VBD', 'NNS VBN NP POS NN NN NNS JJ NN NN POS NN VB NN', 'readiness to give attention'
'although colonial dames actively maintain', '- 160 come every two years take tea lawn - upkeep problem', 'IN NP NPS RB VBP', '? AB VBP DT AB NNS VB NN NN ? NN NN', 'a share in a company or business'
'leaving cliche unturned series also proposes beautiful love', 'drX kulani', 'VBG NN JJ NN RB VBZ JJ NN', 'NP NP', 'activity, etc. that one gives attention to'
'students mrX sowell argues sensibly choose best school school best accommodates individual abilities', 'aspiring poet Xs heaven aspiring engineer Xs hell', 'NNS NP NP VBZ RB VB JJS NN NN RBS VBZ JJ NNS', 'JJ NN POS NN JJ NN POS NN', 'activity, etc. that one gives attention to'
'friday september 22 1989 key uXsX foreign annual', 'rates guide general levels nXt always represent actual transactions', 'NP NP AB AB JJ NP JJ JJ', 'NNS NN JJ NNS RB RB VB JJ NNS', 'money paid for the use of money'
'spending figure includes outlays except', 'payments climbed 0X6 % july', 'NN NN VBZ NNS IN', 'NNS VBD AB NN NP', 'money paid for the use of money'
'ps new hampshire filed bankruptcy-law protection january 1988 unable meet', 'payments $ 1X72 billion debt much taken finance 35X6 % stake long-delayed seabrook nXhX power plant', 'NP NP NP VBD NN NN NP AB JJ VB', 'NNS NN AB AB NN JJ VBN VB AB NN NN JJ NP NP NN NN', 'money paid for the use of money'
'given mrsX thatcher Xs steadfast support north american', 'unilateralist tendencies british opposition president bush canadian prime minister brian mulroney well help make point', 'VBN NP NP POS JJ NN JJ JJ', 'JJ NNS JJ NN NP NP NP NP NP NP NP RB VB VB NN', 'advantage, advancement or favor'
'britain freer access market 250 million prosperous english-speaking people give needed boost manufacturing marketing', '', 'NP JJR NN NN AB AB JJ JJ NNS VB JJ NN NN NN', '', 'a share in a company or business'
'q colleagues budget director richard darman economic adviser michael boskin indicated Xd like fed bring', 'rates little bit', 'NN NNS NP NP NP NP NP NP NP NP VBN MD VB NP VB', 'NNS JJ NN', 'money paid for the use of money'
'blamed british sales slump primarily high', 'rates reduced consumer spending', 'VBD JJ NNS NN RB JJ', 'NNS JJ NN NN', 'money paid for the use of money'
'meantime first boston earning healthy', 'rate campeau-related bonds', 'NN NP NP VBG JJ', 'NN JJ NNS', 'money paid for the use of money'
'three car makers denied market rumors possible', 'jaguar', 'AB NN NNS VBN NN NNS JJ', 'NP', 'readiness to give attention'
'Xs clear Xs social', 'stop shifting around assets', 'VBZ JJ VBZ JJ', 'VB VBG RB NNS', 'advantage, advancement or favor'
'asked american officials whether thought 5 %', 'rate bonds attract russian investors', 'VBD JJ NNS IN VBD AB NN', 'NN NNS VB JJ NNS', 'money paid for the use of money'
'many agents skeptical poll Xs unflattering findings argue makes sense act consumer Xs best', '', 'JJ NNS JJ NN POS JJ NNS VBP VBZ NN VB NN POS JJS', '', 'advantage, advancement or favor'
'president garcia reportedly said peru resume', 'payments $ 500 million standby loan plus $ 800 million bridging loan cover debts imf', 'NP NP RB VBD NP VB', 'NNS NN AB AB JJ NN CC NN AB AB JJ NN VB NNS NP', 'money paid for the use of money'
'2 sweeping claims national power draw sustenance court Xs justification federal wage hour standards state municipal employees garcia decision states protection court argument runs already quite adequately protected national political process iXeX representation local', 'congress political parties state-centered arithmetic electoral college etc', 'LS JJ NNS JJ NN VBP NN NN POS NN JJ NN NN NNS NN JJ NNS NP NN NNS NN NN NN VBZ RB RB RB VBN JJ JJ NN FW NN JJ', 'NP JJ NNS JJ NN JJ NN FW', 'advantage, advancement or favor'
'say local', 'receive hearing congress say states policymaking governments receive hearing', 'VB JJ', 'VBP NN NP VB NNS JJ NNS VBP NN', 'advantage, advancement or favor'
'unilever longer financial', 'agency far away lintas Xs largest longest-standing client', 'NP RB JJ', 'NN RB RB NP POS JJS JJS NN', 'a share in a company or business'
'new bonds carry either below-market', 'rate discount value original loan', 'JJ NNS VB CC JJ', 'NN NN NN JJ NN', 'money paid for the use of money'
'triggered surge new optimism country helped government reduce high', 'rates pay keep skittish investors sending money abroad', 'VBD NN JJ NN NN VBD NN VB JJ', 'NNS VB VB JJ NNS VBG NN RB', 'money paid for the use of money'
'nonetheless', 'rates remain high mexico Xs savings volatile short-term instruments', 'RB', 'NNS VBP JJ NP POS NNS JJ JJ NNS', 'money paid for the use of money'
'cooker restaurant corpX said employee stock ownership plan agreed buy 1,084,606 shares 10 % common stock $ 3X25 share payable 2 12 years without', '', 'NP NP NP VBD NN NN NN NN VBN VB AB NNS AB NN JJ NN NN AB NN JJ AB AB NNS IN', '', 'money paid for the use of money'
'messrsX hickey hornbeck agreed enter non-competition agreements five-year agreement acquire', 'cooker participate proxy contest regarding cooker', 'NPS NP NP VBN VB JJ NNS JJ NN VB', 'NP VB JJ NN VBG NP', 'a share in a company or business'
'spain fund attracted', 'japanese', 'NP NP VBN', 'NPS', 'readiness to give attention'
'recent frenetic trading activity also sparked', 'big board', 'JJ JJ NN NN RB VBN', 'NP NP', 'readiness to give attention'
'lotus development corpX said agreed acquire 15 %', 'sybase incX closely held developer database software', 'NP NP NP VBD VBD VB AB NN', 'NP NP RB VBN NN NN NN', 'a share in a company or business'
'lotus one software industry Xs largest companies acquired minority', 'another closely held company computer software developer rational systems incX july', 'NP AB NN NN POS JJS NNS VBD NN', 'DT RB VBN NN NN NN NN NP NP NP NP', 'a share in a company or business'
'blue-collar workers laid recessions occurred machines nXt fired', 'payments nXt go away', 'JJ NNS VBN NNS VBD NNS RB VBN', 'NNS RB VB RB', 'money paid for the use of money'
'every recession last 35 years - six - happened fed kept tightening even though economy slowed says mrX levine notes fed quick cut', 'rates summer job growth slowed', 'DT NN JJ AB NNS ? AB ? VBN NP VBD VBG RB IN NN VBD VBZ NP NP VBZ NP JJ VB', 'NNS NN NN NN VBD', 'money paid for the use of money'
'reacceleration bring higher', 'rates likely offset stronger earnings', 'NN VB JJR', 'NNS JJ VB JJR NNS', 'money paid for the use of money'
'bidder buys 20 % telephone company Xs stock board finds bidder owns least 10 % stock adverse shareholders X', 'new rights allow holders except hostile bidder buy stock half price time', 'NN VBZ AB NN NN NN POS NN NN VBZ NN VBZ JJS AB NN NN JJ NNS POS', 'JJ NNS VB NNS IN JJ NN VB NN PDT NN NN', 'advantage, advancement or favor'
'mrX silbert attributed disputes principally compounding', 'divestiture non-banking subsidiaries prior 1979', 'NP NP VBD NNS RB NN', 'NN JJ NNS RB AB', 'money paid for the use of money'
'unified savings $ 49X6 million 600 deposit accounts - indication deposits $ 100,000 brokered accounts follow small increases', 'rates', 'NP NP NN AB AB AB NN NNS ? NN NNS NN AB JJ NNS VBP JJ NNS', 'NNS', 'money paid for the use of money'
'aside belgium uXsX company smaller video-distribution film', 'netherlands luxembourg west germany france switzerland spain', 'RB NP NP NN JJR NN NN', 'NP NP NP NP NP NP NP', 'a share in a company or business'
'pharmaceuticals concern said notes redeemed price 104X725 plus accrued unpaid', 'redemption date', 'NNS NN VBD NNS VBN NN AB CC JJ JJ', 'NN NN', 'money paid for the use of money'
'speculation widespread', 'rates drop next months', 'NN JJ', 'NNS VB JJ NNS', 'money paid for the use of money'
'surveys technical bond market readings indicate many money managers expect lower', 'rates fall', 'NNS JJ NN NN NNS VBP JJ NN NNS VBP JJR', 'NNS NN', 'money paid for the use of money'
'worry high uXsX', 'rates keeping dollar high foreign-exchange markets', 'VBP JJ NP', 'NNS VBG NN RB JJ NNS', 'money paid for the use of money'
'msX lazar edward sX hyman vice chairman predicting lower', 'rates next months declines next year', 'NP NP NP NP NP NN NN VBG JJR', 'NNS JJ NNS NNS JJ NN', 'money paid for the use of money'
'one reason expect lower', 'rates money-supply growth', 'AB NN VBP JJR', 'NNS JJ NN', 'money paid for the use of money'
'march example surveys showed widespread fears among money managers higher inflation drive', 'rates', 'NP NN NNS VBD JJ NNS IN NN NNS JJR NN VB', 'NNS', 'money paid for the use of money'
'borrowing coming soon traders fear', 'rates nowhere go', 'NN VBG RB NNS VBP', 'NNS RB VB', 'money paid for the use of money'
'contrarians right', 'rates soon rise', 'NNS JJ', 'NNS RB VB', 'money paid for the use of money'
'spokesman raiders comment oakland proposal fact Xre appreciative', 'shown', 'NN NPS NN NP NN NN VBP JJ', 'VBN', 'readiness to give attention'
'friday central realty president john aX murphy said letter major realty Xs board directors central realty Xs directors dumbfounded major realty Xs lack sensitivity shareholder employee', '', 'NP NP NP NP NP NP NP VBD NN NP NP POS NN NNS NP NP POS NNS JJ NP NP POS NN NN NN NN', '', 'advantage, advancement or favor'
'company also failed pay', 'due septX 1', 'NN RB VBD VB', 'JJ NP AB', 'money paid for the use of money'
'deal treated pooling', 'combines income statements balance sheets two companies nXt create good', 'NN VBN NN', 'VBZ NN NNS NN NNS AB NNS RB VB JJ', 'a share in a company or business'
'united merchants X board authorized mrX ruskin septX 6 develop proposal acquire controlling', 'implement reorganization company', 'NP NPS POS NN VBD NP NP NP AB VB NN VB JJ', 'VB NN NN', 'a share in a company or business'
'company date nXt exhibited exceptional', 'helping shareholders says painewebber incX analyst eli lustgarten', 'NN NN RB VBD JJ', 'VBG NNS VBZ NP NP NN NP NP', 'readiness to give attention'
'data consumer income spending august bolstered perceptions fed risking upturn inflation lowered', 'rates', 'NNS NN NN NN NP VBD NNS NP VBG NN NN VBD', 'NNS', 'money paid for the use of money'
'data consumer income spending august bolstered perceptions fed risking upturn inflation lowered', 'rates', 'NNS NN NN NN NP VBD NNS NP VBG NN NN VBD', 'NNS', 'money paid for the use of money'
'uXsX treasury japanese recently urging uXsX federal reserve cut', 'rates reduce upward pressure dollar', 'NP NP NP RB VBG NP NP NP VB', 'NNS VB JJ NN NN', 'money paid for the use of money'
'absence', 'rate changes group seven rely intervention exchange markets influence dollar', 'NN', 'NN NNS NP NP VB NN NN NNS VB NN', 'money paid for the use of money'
'company said mrX lawrence resigned pursue', '', 'NN VBD NP NP VBD VB', '', 'activity, etc. that one gives attention to'
'van kampen merritt prime rate income trust - 11X5 million shares beneficial', 'via prudential-bache', 'NP NP NP NP NP NP NP ? AB AB NNS JJ', 'IN NP', 'a share in a company or business'
'kaneb pipe line partners lXpX - 4X65 million units representing senior limited partnership', 'via goldman sachs', 'NP NP NP NPS NP ? AB AB NNS VBG JJ NP NP', 'IN NP NP', 'a share in a company or business'
'british air officially 15 % voting', 'united equity contribution accounts 78 % total equity $ 965 million', 'NP NP RB AB NN JJ', 'NP NN NN VBZ AB NN JJ NN NN AB AB', 'a share in a company or business'
'government paid $ 17X33 billion', 'last month federal debt', 'NN VBD NN AB AB', 'JJ NN JJ NN', 'money paid for the use of money'
'chrysler corpX saying wanted cash investment soared value sold half', 'mitsubishi motors corpX move bring uXsX auto maker $ 310 million taxes', 'NP NP VBG VBD VB NN VBN NN VBD NN', 'NP NPS NP NN VB NP NN NN NN AB AB NNS', 'a share in a company or business'
'settling added companies able halt accumulating legal fees', 'judgment', 'VBG VBD NNS JJ VB VBG JJ NNS', 'NN', 'money paid for the use of money'
'manufacturers hanover corpX said international-leasing subsidiary sold 45 %', 'korea industrial leasing coX nippon credit bank ltdX tokyo $ 68 million', 'NPS NP NP VBD JJ NN VBD AB NN', 'NP NP NP NP NP NP NP NP NP NN AB AB', 'a share in a company or business'
'mrX lipper said carl ruderman chairman drake admitted afford go forward venture seeking buyer equity', 'acquired', 'NP NP VBD NP NP NN NP VBN VB VB RB NP VBG NN NN', 'VBD', 'a share in a company or business'
'investor', 'summit technology visx taunton technologies blossomed last month article newspaper said three companies racing market version highly specialized laser correct vision defects', 'NN', 'NP NP NP NP NPS VBD JJ NN NN NN VBD AB NNS VBG VB NN RB VBN NN VB NN NNS', 'readiness to give attention'
'gm raised', 'rates cut-rate auto loans range 6X9 % 24-month loans 10X9 % 60-month loans compared terms 1989 models 2X9 %', 'NP VBN', 'NNS JJ NN NNS VBP AB NN JJ NNS AB NN JJ NNS VBN NNS AB NNS AB NN', 'money paid for the use of money'
'investor', 'mainly targeted issues whose prices seemed move quickly', 'NN', 'RB VBN NNS WP NNS VBD VB RB', 'readiness to give attention'
'amid uncertainty exchange rate directions domestic', 'rates institutional investors remained sidelined week', 'IN NN NN NN NNS JJ', 'NNS JJ NNS VBD JJ NN', 'money paid for the use of money'
'recent years says italy concentrated monetary policy - keeping', 'rates high finance huge deficit', 'JJ NNS VBZ NP VBN JJ NN ? VBG', 'NNS JJ VB JJ NN', 'money paid for the use of money'
'mrX cirino pomicino hopes change picking areas essential national', 'concentrating making work says', 'NP NP NP VBZ VB VBG NNS JJ JJ', 'VBG VBG VB VBZ', 'advantage, advancement or favor'
'budget post however sure even bigger challenge spending cuts involve attacking long entrenched', '- something politicians seem willing especially italy', 'NN NN RB JJ RB JJR NN NN NNS VBP VBG RB VBN', '? NN NNS VBP JJ RB NP', 'advantage, advancement or favor'
'bundesbank appearing signal rise west german', 'rates said previous rate-tightening steps nXt sufficiently reduced danger inflation', 'NP VBG VB NN JJ JJ', 'NNS VBD JJ JJ NNS RB RB VBN NN NN', 'money paid for the use of money'
'september report central bank said policy slowly forcing market', 'rates summer limited success reducing cash circulating nation Xs economy', 'NP NN JJ NN VBD NN RB VBG NN', 'NNS NN JJ NN VBG NN VBG NN POS NN', 'money paid for the use of money'
'said west german', 'rates still well international average currency markets focusing higher nominal *interest rates offered currencies', 'VBD JJ JJ', 'NNS RB RB JJ NN NN NNS VBG JJR NN NN NNS VBN NNS', 'money paid for the use of money'
'instance west purchased', 'uXkX cable company one day may allowed provide telephone service cable network', 'NN NP VBD', 'NP NN NN AB NN MD VBN VB NN NN NN NN', 'a share in a company or business'
'actions nXt interpreted lack', 'international markets explains mrX malik', 'NNS RB VBN NN', 'JJ NNS VBZ NP NP', 'readiness to give attention'
'day mrX bourassa angered english-speaking quebeckers reneging campaign promise permit outdoor commercial signs english squirmed hourlong session designed reassure voters - tenth electorate - Xd protect', '', 'NN NP NP VBD JJ NPS VBG NN NN VB JJ JJ NNS NP VBD JJ NN VBN VB NNS ? JJ NN ? MD VB', '', 'advantage, advancement or favor'
'cieX saint gobain said consolidated net income payments minority', 'rose 15 % 2X01 billion french francs $ 305X7 million first half 1989 reflecting continued strong demand across major markets product ranges', 'NP NP NP VBD JJ JJ NN NNS NN', 'VBD AB NN AB AB JJ NNS NN AB AB JJ NN AB VBG VBN JJ NN IN JJ NNS NN NNS', 'a share in a company or business'
'initially government put second-quarter rate 1X7 % triggering anxiety country heading recession probably influencing federal reserve move let', 'rates fall late july', 'RB NN VBD JJ NN AB NN VBG NN NN VBG NN RB VBG NP NP NN VB', 'NNS VB JJ NP', 'money paid for the use of money'
'beginning march 1988 continuing last spring fed steadily pushed', 'rates curb economic activity order restrain inflation', 'VBG NP AB VBG JJ NN NP RB VBD', 'NNS VB JJ NN NN VB NN', 'money paid for the use of money'
'generale dXelectricite said group profit payments minority', 'nearly tripled first half partly result accounting changes linked creation joint venture general electric coX britain', 'NP NP VBD NN NN NNS NN', 'RB VBD JJ NN RB NN NN NNS VBN NN JJ NN NP NP NP NP', 'a share in a company or business'
'tell readers find bonds safe ones risky nXt look ratings look', 'rate unsound advice', 'VB NNS VB NNS JJ NNS JJ RB VB NNS NN', 'NN JJ NN', 'money paid for the use of money'
'', 'rates fluctuate time many reasons change basic credit quality', '', 'NNS VB NN JJ NNS NN NN NN NN', 'money paid for the use of money'
'city Xs bonds rated sANDp continued pay principal', 'never went default', 'NN POS NNS VBN NP VBD VB NN', 'RB VBD NN', 'money paid for the use of money'
'james pattison owner jim pattison industries ltdX elected director concern', 'engineering financial services', 'NP NP NN NP NP NPS NP VBN NN NN', 'NN JJ NNS', 'a share in a company or business'
'none ferranti Xs banks threatened call loans source said -', 'done', 'NN NP POS NNS VBD VB NNS NN VBD ?', 'VBN', 'advantage, advancement or favor'
'intek holding company', 'coating products static control also maker electrostatic simulation testing equipment', 'NP VBG NN', 'NN NNS JJ NN RB NN JJ NN NN NN', 'a share in a company or business'
'company Xs low-key publicity campaign continued generate', '', 'NN POS JJ NN NN VBN VB', '', 'readiness to give attention'
'traders said retail', 'bonds dried price moves driven mostly technical factors', 'NNS VBD JJ', 'NNS VBN NN NNS VBN RB JJ NNS', 'readiness to give attention'
'brief statement mrX ankeny conceded nXt best person turn first bank around given challenges organization faces Xve determined best', 'shareholders employees resign chairman president chief executive', 'JJ NN NP NP VBD RB JJS NN VB NP NP IN VBN NNS NN VBZ VBP VBN JJS', 'NNS NNS VBP NN NN NN NN', 'advantage, advancement or favor'
'far worst holding onto $ 8 billion government bond position rising', 'rates 1987 hope rates decline rates nXt value bonds fell $ 700 million nine months', 'RB JJS VBG IN NN AB AB NN NN NN VBG', 'NNS AB NN NNS VB NNS RB NN NNS VBD NN AB AB AB NNS', 'money paid for the use of money'
'general signal', 'process control electrical semiconductor transportation telecommunications systems nXt anyone post since january theodore wiedemann resigned personal reasons', 'NP NP', 'NN NN JJ NN NN NNS NNS RB NN NN IN NP NP NP VBD JJ NNS', 'a share in a company or business'
'itt consumer unit new york-based itt corpX multinational giant', 'including communications information financial services manufacturing hotels', 'NP NP NN NP JJ NP NP JJ NN', 'VBG NNS NN JJ NNS NN NNS', 'a share in a company or business'
'attorneys general around country made aware practices note settlement', 'mrX van kamp said', 'NNS JJ IN NN VBN JJ NNS VB NN', 'NP NP NP VBD', 'readiness to give attention'
'nation believes extraordinary events endanger supreme', 'may withdraw proposed conventional arms-control treaty giving three months X notice', 'NN VBZ JJ NNS VBP NN', 'MD VB VBN JJ JJ NN VBG AB NNS POS NN', 'advantage, advancement or favor'
'short', 'month ended septX 15 fell 1X3 % new york stock exchange crept less 1 % record american stock exchange', 'JJ', 'NN VBD NP AB VBD AB NN NP NP NP NP VBD JJR AB NN NN NP NP NP', 'a share in a company or business'
'big board short', 'slipped 547,347,585 shares 554,537,766 month earlier', 'NP NP JJ', 'VBD AB NNS AB NN RB', 'a share in a company or business'
'amex short', 'reached 51,887,168 shares adjusted 51,844,137', 'NP JJ', 'VBD AB NNS VBN AB', 'a share in a company or business'
'short', 'number shares nXt yet purchased return lenders', 'JJ', 'NN NNS RB RB VBN NN NNS', 'a share in a company or business'
'although substantial short position reflects heavy speculation stock Xs price decline investors consider increase short', 'bullish borrowed shares eventually bought back', 'IN JJ JJ NN VBZ JJ NN NN POS NN VB NNS VBP NN JJ', 'JJ VBN NNS RB VBN RB', 'a share in a company or business'
'fluctuation short', 'certain stocks also may caused partly arbitraging', 'NN JJ', 'JJ NNS RB MD VBN RB VBG', 'a share in a company or business'
'level negative sentiment measured big board short', 'ratio rose 3X38 last month Xs 3X13', 'NN JJ NN VBN NP NP JJ', 'NN VBD AB JJ NN POS AB', 'a share in a company or business'
'ratio number trading days exchange Xs average trading volume required convert total short', 'position', 'NN NN NN NNS NN POS JJ VBG NN VBN VB JJ JJ', 'NN', 'a share in a company or business'
'largest big board drop short', 'volume panhandle eastern corpX pipeline company 495,904 shares 6X4 million', 'JJS NP NP NN JJ', 'NN NP NP NP NN NN AB NNS AB AB', 'a share in a company or business'
'adjacent tables show big board amex issues short', 'position least 100,000 shares existed mid-september short position change least 50,000 shares since mid-august see accompanying tables - wsj septX 22 1989', 'JJ NNS VBP NP NP NP NNS JJ', 'NN JJS AB NNS VBD NP JJ NN NN JJS AB NNS IN NP VB VBG NNS ? NP NP AB AB', 'a share in a company or business'
'mrX schlossberg thought dinner better way really communicate take special', '', 'NP NP VBD NN JJR NN RB VB VB JJ', '', 'readiness to give attention'
'cieX saint gobain said consolidated net income payments minority', 'rose 15 % 2X01 billion french francs $ 305X7 million first half 1989 reflecting continued strong demand across major markets product ranges', 'NP NP NP VBD JJ JJ NN NNS NN', 'VBD AB NN AB AB JJ NNS NN AB AB JJ DT AB VBG VBN JJ NN IN JJ NNS NN NNS', 'a share in a company or business'
'coats viyella plc british textile manufacturer said pretax profit slumped 27 % latest six months high uXkX', 'rates rising imports ripped profitability', 'NPS NP NP JJ NN NN VBD JJ NN VBD AB NN JJS AB NNS JJ NP', 'NNS VBG NNS VBD NN', 'money paid for the use of money'
'first six months 1989 company reported revenue $ 1X77 billion earnings', 'taxes depreciation $ 365 million', 'JJ AB NNS AB NN VBD NN NN AB AB NNS', 'NNS NN NN AB AB', 'money paid for the use of money'
'net', 'expenses $ 238 million period', 'JJ', 'NNS NN AB AB NN', 'money paid for the use of money'
'accord banks choose make new loans take charge reserves swap loans bonds carry either 35 % discount face value loan amount below-market 6X25 %', 'rate', 'NN NNS VB VB JJ NNS VB NN NNS VB NNS NNS VBP CC AB NN NN NN NN NN NN JJ AB NN', 'NN', 'money paid for the use of money'
'budget trade deficits well unemployment outrank', 'rates economic concerns', 'NN NN NNS RB NN VBP', 'NNS JJ NNS', 'money paid for the use of money'
'gop repX martin says voters X wide', 'nXt reflected calls media Xs bikini treatment skimpy coverage calls attention sensational parts', 'NP NP NP VBZ NNS POS JJ', 'RB VBN VBZ NNS POS NN NN JJ NN VBZ NN JJ NNS', 'activity, etc. that one gives attention to'
'note capital defined owner Xs equity reserves minority', 'preferred stock long-term debt', 'NN NN VBN NN POS NN NNS NN', 'VBN NN JJ NN', 'a share in a company or business'
'letter mrX preston said remained company Xs long-term', 'remain independent', 'NN NP NP VBD VBD NN POS JJ', 'VB JJ', 'advantage, advancement or favor'
'ford motor Xs', 'jaguar continued stir *interest foreign car maker whose american depositary receipts active issue nasdaq rose 1732 8 1316 turnover 4X1 million', 'NP NP POS', 'NP VBD VB NN JJ NN NN WP JJ NN NNS JJ NN NP VBD AB AB AB NN AB AB', 'readiness to give attention'
'ford motor Xs *interest jaguar continued stir', 'foreign car maker whose american depositary receipts active issue nasdaq rose 1732 8 1316 turnover 4X1 million', 'NP NP POS NN NP VBD VB', 'JJ NN NN WP JJ NN NNS JJ NN NP VBD AB AB AB NN AB AB', 'readiness to give attention'
'bush administration japanese like see uXsX federal reserve lower', 'rates - move weaken dollar making uXsX investments less attractive', 'NP NN NP VB VB NP NP NP JJR', 'NNS ? NN VB NN VBG NP NNS RBR JJ', 'money paid for the use of money'
'according uXsX officials japanese offered multiply power uXsX *interest-rate cut boosting', 'rates time', 'VBG NP NNS NP VBN VB NN NP NN NN VBG', 'NNS NN', 'money paid for the use of money'
'selectiveness reflected investors X move avoid committing market uncertainties currencies domestic', 'rates remained strong traders said', 'NN VBD NNS POS NN VB VBG NN NNS NNS JJ', 'NNS VBD JJ NNS VBD', 'money paid for the use of money'
'relative firmness wall street along lack movement west germany', 'rates feared thursday helped ease fears major downward correction imminent', 'JJ NN NP NP IN NN NN NP NP', 'NNS VBN NP VBD VB NNS JJ JJ NN JJ', 'money paid for the use of money'
'jaguar focus active dealings since ford motor announced', 'earlier week closed 548 38 11 million shares traded', 'NP NN JJ NNS IN NP NP VBD', 'RBR NN VBD AB AB AB AB NNS VBN', 'readiness to give attention'
